County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference,New York Zip Codes 2,Counties 2,NYS Municipal Boundaries 2
YATES,644731,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SENSENIG HARLAN,SENSENIG HARLAN,315-536-6816,3379,HOYT ROAD,,,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-77.026548, 42.601721]}",367,2225,92
NIAGARA,294280,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ZEHRS FARM MARKET & NURSERY INC,ZEHRS FARM MARKET & NURSERY INC,716-628-7489,5353,WEST LAKE ROAD,,,BURT,NY,14028,"{'type': 'Point', 'coordinates': [-78.74708, 43.32767]}",493,2131,161
ONONDAGA,645032,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MEL NICOTRA INC,MELANIE NICOTRA,315-243-2008,7082,N MANLIUS RD,,,KIRKVILLE,NY,13082,"{'type': 'Point', 'coordinates': [-75.998187, 43.115487]}",633,2132,696
SARATOGA,416135,Nursery Stock Only,10 Acres or Less,,DEHNS FLOWERS INC,DEHNS FLOWERS INC,518-885-6222,15,TRIEBLE AVE,,,BALLSTON SPA,NY,12020,"{'type': 'Point', 'coordinates': [-73.851566, 43.045851]}",1148,2141,999
CAYUGA,644139,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TIMOTHY L AUKER,TIMOTHY AUKER,315-364-5339,4139,STATE ROUTE 34,,,SCIPIO CENTER,NY,13147,"{'type': 'Point', 'coordinates': [-76.560695, 42.817759]}",688,618,72
MONTGOMERY,644122,Nursery Stock Only,10 Acres or Less,,HOMEGROWN DESIGNS LTD,BARBARA WELOTH,518-421-9190,194,STABENOW RD,,,CANAJOHARIE,NY,13317,"{'type': 'Point', 'coordinates': [-74.606981, 42.85916]}",774,624,495
ULSTER,645656,Nursery Stock Only,10 Acres or Less,,FARM FRESH CARRIBEAN GROWERS,DELROY HENNINGHAM,845-591-3334,134,SOUTH OHIOVILLE ROAD,,,NEW PALTZ,NY,12561,"{'type': 'Point', 'coordinates': [-74.062979, 41.724609]}",989,2182,416
SULLIVAN,481081,Nursery Stock Only,10 Acres or Less,,KORWANS TREE FARM,KORWAN WILLIAM S,845-482-3345,148,EGGLER ROAD,,,JEFFERSONVILLE,NY,12748,"{'type': 'Point', 'coordinates': [-74.935458, 41.767439]}",1057,2180,661
BROOME,33990,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GROWING GARDENS,JOHNSON LEE AND PATRICIA,607-849-4877,9160,NYS RT 79,,,LISLE,NY,13797,"{'type': 'Point', 'coordinates': [-76.01556497399997, 42.35414901900003]}",433,2033,943
ONEIDA,306941,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",BLOOMS BY BOGNER,BOGNER MARLENE,315-732-3820,,NEW HARTFORD SHOPPING CENTER,,,NEW HARTFORD,NY,13413,"{'type': 'Point', 'coordinates': [-75.287002, 43.066343]}",1274,625,921
SUFFOLK,645128,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DAVID SCHNEIDER FARMS,DAVID SCHNEIDER,631-673-5844,316,OLD COUNTRY ROAD,,,MELVILLE,NY,11747,"{'type': 'Point', 'coordinates': [-73.399896, 40.801526]}",1122,2179,1020
CLINTON,645256,Nursery Stock Only,10 Acres or Less,,UNDERWOOD HERBS,JANE DESOTELLE,518-563-4777,61,RILEY AVENUE,,,PLATTSBURGH,NY,12901,"{'type': 'Point', 'coordinates': [-73.455765, 44.707062]}",202,2038,4
ESSEX,645823,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",EAST BRANCH ORGAINCS,HEATHER AND TOM COFFIN,518-576-9043,10861,US ROUTE 9N,,,KEENE,NY,12942,"{'type': 'Point', 'coordinates': [-73.787431, 44.252737]}",271,2084,442
DUTCHESS,135825,Nursery Stock Only,10 Acres or Less,,BRADY CO-DISTINCT LANDSCAPE INC,BRADY CO-DISTINCT LANDSCAPE INC,845-229-1211,202,HAVILAND ROAD,,,HYDE PARK,NY,12538,"{'type': 'Point', 'coordinates': [-73.88926377499996, 41.780333150000054]}",1021,2040,595
ONONDAGA,645855,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SHIGOS PRODUCE FARM,EMIL SHIGO,315-627-0199,7079,NORTH MANLIUS ROAD,,,KIRKVILLE,NY,13082,"{'type': 'Point', 'coordinates': [-75.99409800000001, 43.113916]}",633,2132,696
CHAUTAUQUA,645274,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BIODOME PROJECT,RYAN PETERSON AND BILL THOMAS,716-489-7668,207,PINE STREET,,,JAMESTOWN,NY,14701,"{'type': 'Point', 'coordinates': [-79.239971, 42.096054]}",1687,2035,209
MONROE,261868,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",YOUR GARDENING ANGELINC,LEONARDO STEPHEN&FOTI LINDA,585-223-4947,650,THAYER ROAD,,,FAIRPORT,NY,14450,"{'type': 'Point', 'coordinates': [-77.420016, 43.043968]}",231,2093,540
LEWIS,231644,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GUIGNARDS GREENHOUSES,GUIGNARD JOAN,315-408-4951,6570,#4 ROAD,,,LOWVILLE,NY,13367,"{'type': 'Point', 'coordinates': [-75.48914499999995, 43.78851000000003]}",571,623,619
JEFFERSON,221234,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CRITTER HAVEN FARM,CARTER SYLVIA R,315-686-2023,18910,COUNTY ROUTE 3,,,CLAYTON,NY,13624,"{'type': 'Point', 'coordinates': [-75.993803, 44.239797]}",1580,2089,847
NIAGARA,295441,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",LAROSES FARM MARKET &GARDEN CENTER INC,LAROSES FARM MKT&GDN CENTER INC,716-433-9352,5759,5759 RIDGE ROAD,,,LOCKPORT,NY,14094,"{'type': 'Point', 'coordinates': [-78.718474, 43.219321]}",930,2131,162
LEWIS,234472,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COLWELLS FRM MKT&GDNCTR,COLWELL MICHAEL & VIOLET,315-376-7402,6007,STATE ROUTE 12,,,GLENFIELD,NY,13343,"{'type': 'Point', 'coordinates': [-75.41042400000002, 43.723138]}",555,623,617
TIOGA,644299,Greenhouse Stock Only,10 Acres or Less,"2,000 SqFt of Glass or Less",HUMBLE HILL FARM,TARANTELLI RICHARD,607-589-6149,390,TALLOW HILL RD,,,SPENCER,NY,14883,"{'type': 'Point', 'coordinates': [-76.423525, 42.245829]}",914,630,51
OTSEGO,645423,Nursery Stock Only,10 Acres or Less,,TRI COUNTY NURSERY,PAUL L BALDWIN,607-369-9187,11,DEPOT STREET,,,UNADILLA,NY,13849,"{'type': 'Point', 'coordinates': [-75.310953, 42.326663]}",465,2136,897
ONONDAGA,645129,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LAKE EFFECT PROPERTY SERVICES,LAKE EFFECT,,2075,GENESEE TRPK,,,CAMILLUS,NY,13031,"{'type': 'Point', 'coordinates': [-76.362545, 43.034693]}",350,2132,659
SENECA,451214,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GREENTHUMB GARDENS,TAYLOR HOLLY,607-532-4994,3667,CAYUGA ST,,,INTERLAKEN,NY,14847,"{'type': 'Point', 'coordinates': [-76.722865, 42.619338]}",1785,2144,584
STEUBEN,644991,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WEST VIEW PRODUCE,KENNETH & MARYANN HURST,607-569-2032,9499,COUNTY ROUTE 87,,,HAMMONDSPORT,NY,14840,"{'type': 'Point', 'coordinates': [-77.150905, 42.435359]}",1779,2178,19
SUFFOLK,475359,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",LA CORTES FARMSTAND,LA CORTE PAUL,516-315-0821,339,MONTAUK HIGHWAY,,,MORICHES,NY,11955,"{'type': 'Point', 'coordinates': [-72.829106, 40.807657]}",1638,2179,1022
YATES,645757,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SAMUEL HOOVER,SAMUEL HOOVER,315-536-7151,3134,HIMROD ROAD,,,HIMROD,NY,14842,"{'type': 'Point', 'coordinates': [-76.977891, 42.612821]}",1781,2225,92
RICHMOND,643118,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",GREENBELT NATIVE PLANT CTR PROPGA NRSY,NYC DEPARTMENT OF PARKS,718-370-9044,3808,VICTORY B,,,STATEN ISLAND,NY,10314,"{'type': 'Point', 'coordinates': [-74.182045, 40.597089]}",616,2139,585
RENSSELAER,380551,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",HILLTOP GREENHOUSE,MIDDIS PATRICIA R,518-663-5645,84,HUMPHREY WAY,,,VALLEY FALLS,NY,12185,"{'type': 'Point', 'coordinates': [-73.514318, 42.853409]}",15,2138,117
NIAGARA,295428,Nursery Stock Only,10 Acres or Less,,RICKARD NURSERY,RICKARD CALVIN L,716-622-0811,7960,TELEGRAPH ROAD,,,GASPORT,NY,14067,"{'type': 'Point', 'coordinates': [-78.588866, 43.19603]}",522,2131,155
ONTARIO,320398,Nursery Stock Only,10 Acres or Less,,HIGH-LINE,SHAW KATHLEEN,585-374-5114,8050,GARLINGHOUSE ROAD,,,NAPLES,NY,14512,"{'type': 'Point', 'coordinates': [-77.481044, 42.629791]}",323,2133,804
BRONX,645788,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",DOCTOR JUICE LLC,JOVANY AND MELIZA VELOZ,585-734-7973,1880,BRYANT AVENUE,,,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.882556, 40.839605]}",673,2032,307
HERKIMER,212526,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ANNUTTOS GREENHOUSES LLC,ANNUTTO JAMES,315-868-1012,156,GROS BOULEVARD,,,EAST HERKIMER,NY,13350,"{'type': 'Point', 'coordinates': [-74.954461, 43.032383]}",559,2088,679
GREENE,196695,Nursery Stock Only,10 Acres or Less,,WILLIAM MOREHOUSE,MOREHOUSE WILLIAM,518-756-2936,42,FLATBUSH ROAD,,,WEST COXSACKIE,NY,12192,"{'type': 'Point', 'coordinates': [-73.823239, 42.409501]}",21,2087,752
OSWEGO,644663,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",TAYLOR'S ENTERPRISES,TAYLOR'S ENTERPRISES,315-297-5314,440,GIFFORD RD,,,HANNIBAL,NY,13074,"{'type': 'Point', 'coordinates': [-76.517596, 43.280835]}",627,2135,246
SUFFOLK,470662,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",WOODSIDE NURSERY & GARDEN CENTER,WOODSIDE NUR & GDN CTR INC,631-758-1491,134,E WOODSIDE AVENUE,,,N PATCHOGUE,NY,11772,"{'type': 'Point', 'coordinates': [-72.992635, 40.795121]}",1322,2179,1022
ORANGE,643635,Combined Nursery and Greenhouse,,"2,000 SqFt of Glass or Less",ANGELAS GREENHOUSE,ANGELA GROSSO,845-800-2491,91,A COLLABAR ROAD,,,MONTGOMERY,NY,12549,"{'type': 'Point', 'coordinates': [-74.313595, 41.540475]}",986,2134,879
ONONDAGA,312488,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",LAXTONS FLORIST&NURSERY,LAXTON DAVID,315-685-6427,2354,WEST LAKE ROAD,,,SKANEATELES,NY,13152,"{'type': 'Point', 'coordinates': [-76.413391, 42.885611]}",690,2132,689
SUFFOLK,645413,Nursery Stock Only,11-100 Acres,,DELEA LEASING CORP DBA DELEA SOD FARMS,DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022,MILL LANE,(EAST SIDE) RULAND FARM,,,MATTITUCK,NY,11952,"{'type': 'Point', 'coordinates': [-72.53809599999994, 40.99236600000006]}",1635,2179,1012
TOMPKINS,645820,Nursery Stock Only,10 Acres or Less,,BUDGET NURSERY,RON BERGMAN,607-379-3485,222,WEST LINCOLN STREET,,,ITHACA,NY,14850,"{'type': 'Point', 'coordinates': [-76.502301, 42.451423]}",1786,2181,709
ALLEGANY,645601,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",RIVER SIDE FARMS,STEPHEN DEMANTE,716-560-5594,3314,RIVERSIDE DRIVE,,,SCIO,NY,14880,"{'type': 'Point', 'coordinates': [-77.975444, 42.141422]}",923,2031,448
ALLEGANY,26708,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NEW STARTS,BALDWIN HOWARD THOMAS,202-210-9503,6586,LITTLE JOHN ROAD,,,BELFAST,NY,14711,"{'type': 'Point', 'coordinates': [-78.11043700000002, 42.314814]}",1693,2031,467
SARATOGA,411213,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MILBURT FARM,TILLSON MICHAEL AND KATHLEEN,518-882-9306,6113,FISHOUSE ROAD,,,GALWAY,NY,12074,"{'type': 'Point', 'coordinates': [-74.088693, 43.061036]}",1222,2141,1005
ONEIDA,645123,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ROBERT BLUNT,ROBERT BLUNT,315-841-4804,2705,STATE ROUTE 315,,,DEANSBORO,NY,13328,"{'type': 'Point', 'coordinates': [-75.423826, 42.99181]}",542,625,922
TOMPKINS,646031,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",FINGER LAKES NURSERY,SPENCER HEAPS,607-288-3705,1432,DANBY ROAD,,,ITHACA,NY,14850,"{'type': 'Point', 'coordinates': [-76.49131, 42.380903]}",1786,2181,713
SUFFOLK,470227,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",KAWASAKI GREENHOUSES INC,KAWASAKI GREENHOUSES INC,631-878-0115,15,EVERGREEN AVE,PO BOX 762,,EAST MORICHES,NY,11940,"{'type': 'Point', 'coordinates': [-72.745459, 40.81089]}",1600,2179,1022
YATES,646062,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HOOVER HOWARD,HOWARD HOOVER,315-536-3192,2849,SWARTHOUT ROAD,,,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-77.016548, 42.628685]}",367,2225,92
TOMPKINS,645649,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",UNDER THE TREE,SCOTT VAN GAASBECK,607-203-0110,58,MIDDAUGH ROAD,,,BROOKTONDALE,NY,14817,"{'type': 'Point', 'coordinates': [-76.412949, 42.384857]}",1763,2181,714
OTSEGO,363592,Nursery Stock Only,11-100 Acres,,TOWN AND COUNTRY TREE,BROEK GLENN AND JEFFREY,607-293-8077,,RR 1 BOX 123B,,,MOUNT VISION,NY,13810,"{'type': 'Point', 'coordinates': [-75.113072, 42.609851]}",442,2136,904
ORANGE,645005,Nursery Stock Only,10 Acres or Less,,ROYAL ACRES,JOHN KING,845-692-6719,486,UNION SCHOOL RD,,,MIDDLETOWN,NY,10941,"{'type': 'Point', 'coordinates': [-74.332246, 41.526301]}",1541,2134,879
ONONDAGA,644134,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",JOES PLANT SHACK,JOE RINEFIERD,315-491-3167,5632,GULF RD,,,CHITTENANGO,NY,13037,"{'type': 'Point', 'coordinates': [-75.919401, 43.045459]}",356,2132,696
GREENE,196512,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NORTH COUNTRY LANDSCAPES INC,NORTH COUNTRY LANDSCAPES INC,518-731-7610,10680,STATE ROUTE 9W,,,COXSACKIE,NY,12051,"{'type': 'Point', 'coordinates': [-73.84911, 42.32562]}",1177,2087,759
SCHENECTADY,644553,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",RAY SCHULTZ FARM & GREENHOUSE,SHELIA SCHULTZ,518-399-8743,98,HETCHELTOWN RD,,,SCHENECTADY,NY,12302,"{'type': 'Point', 'coordinates': [-73.908848, 42.881925]}",50,2142,108
WASHINGTON,645295,Nursery Stock Only,10 Acres or Less,,LAURAS GARDEN,LAURA DUNHAM,518-854-3833,196,N MAIN STREET,,,SALEM,NY,12865,"{'type': 'Point', 'coordinates': [-73.327657, 43.172851]}",146,2184,717
WYOMING,566249,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",REITER FARM,REITER PATRICIA,585-591-1358,3781,EAST MAIN STREET,,,ATTICA,NY,14011,"{'type': 'Point', 'coordinates': [-78.231583, 42.860695]}",486,2186,404
ONTARIO,324236,Nursery Stock Only,11-100 Acres,,VICTOR CHRISTMAS TREE FARM,FAUBEL DAVID S,585-924-2079,1619,MURRAY ROAD,,,VICTOR,NY,14564,"{'type': 'Point', 'coordinates': [-77.431782, 42.954373]}",413,2133,799
JEFFERSON,646059,Nursery Stock Only,10 Acres or Less,,LUFF FARMS INC,KURT & LORI LANNING,315-649-2985,21272,SOUTH SHORE ROAD,,,THREE MILE BAY,NY,13693,"{'type': 'Point', 'coordinates': [-76.263487, 43.985984]}",1620,2089,848
ONONDAGA,312765,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",BARBAGALLO PAUL GREENHOUSE,BARBAGALLO PETER,315-463-4289,6287,THOMPSON ROAD,,,SYRACUSE,NY,13206,"{'type': 'Point', 'coordinates': [-76.089199, 43.075404]}",715,2132,702
FULTON,171758,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MIDLINE GREENHOUSES,CHUPKA PAUL A,518-843-1803,1000,MIDLINE ROAD,,,AMSTERDAM,NY,12010,"{'type': 'Point', 'coordinates': [-74.167248, 42.99359]}",1143,2085,379
MONROE,261939,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLDENBURGS FARM MARKET,OLDENBURG JOHN C III,585-451-9048,3408,ST PAUL BOULEVARD,,,ROCHESTER,NY,14617,"{'type': 'Point', 'coordinates': [-77.604977, 43.218486]}",1676,2093,545
SUFFOLK,472791,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",PRIANTI FARMS INC,PRIANTI FARMS INC,631-499-0772,47,EAST DEER PARK ROAD,,,DIX HILLS,NY,11746,"{'type': 'Point', 'coordinates': [-73.336586, 40.833624]}",1120,2179,1020
COLUMBIA,104924,Nursery Stock Only,101 Acres or More,,ZINO NURSERIES INC,ZINO NURSERIES & LANDSCAPING INC,518-325-3658,700,OVERLOOK ROAD - FARM A,,,HILLSDALE,NY,12529,"{'type': 'Point', 'coordinates': [-73.545715, 42.148662]}",973,619,521
ERIE,141590,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MISCHLERS FLORIST INC,MISCHLERS FLORIST INC,716-632-1290,118,SOUTH FOREST ROAD,,,WILLIAMSVILLE,NY,14221,"{'type': 'Point', 'coordinates': [-78.759303, 42.95667000000001]}",110,2041,304
SUFFOLK,470976,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",TRIMBLES OF CORCHAUG NRSY LTD,TRIMBLES OF CORCHAUG NRSY LTD,631-734-6494,20985,MAIN ROAD,,,CUTCHOGUE,NY,11935,"{'type': 'Point', 'coordinates': [-72.506246, 40.999189]}",1536,2179,1012
ERIE,144449,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HERMAN VINCENT L,HERMAN VINCENT L,716-652-2647,950,NORTH DAVIS ROAD,,,ELMA,NY,140599514,"{'type': 'Point', 'coordinates': [-78.678573, 42.79838]}",515,2041,292
CHEMUNG,644521,Nursery Stock Only,10 Acres or Less,,R S PARKER LANDSCAPING & GARDEN CENTER,RANDY PARKER,,791,ROUTE 64,,,ELMIRA,NY,14903,"{'type': 'Point', 'coordinates': [-76.88652995799998, 42.15250000000003]}",927,2036,488
ERIE,145402,Nursery Stock Only,10 Acres or Less,,VOSSLER SHARLENE J,VOSSLER SHARLENE J,716-496-8967,13460,SCHUTT ROAD,,,CHAFFEE,NY,140309762,"{'type': 'Point', 'coordinates': [-78.48208508299996, 42.54155601200006]}",494,2041,281
SARATOGA,416458,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ANDERSON ACRES,ANDERSON JUDITH,518-882-6050,2399,ROUTE 67,,,WEST CHARLTON,NY,12010,"{'type': 'Point', 'coordinates': [-74.06064, 42.976086]}",1143,2141,1010
SUFFOLK,475455,Nursery Stock Only,11-100 Acres,,WARRENS NURSERY INC - GROW,WARRENS NURSERY INC,,,SCUTTLE HOLE ROAD,,,BRIDGEHAMPTON,NY,11932,"{'type': 'Point', 'coordinates': [-72.304472, 40.943618]}",1533,2179,1013
NIAGARA,292983,Nursery Stock Only,11-100 Acres,,STEDMAN OLD FRM NUR INC,STEDMAN OLD FARM NURSERIES INC,716-778-8540,,TACHI FARM TRANSIT ROAD,,,NEWFANE,NY,14108,"{'type': 'Point', 'coordinates': [-78.718267, 43.267993]}",936,2131,161
SARATOGA,416407,Nursery Stock Only,11-100 Acres,,NYS ENVIRONMENTAL CONS,LEE DAVID,518-581-1439,,ROUTE 9,,,SARATOGA SPRINGS,NY,12866,"{'type': 'Point', 'coordinates': [-73.759248, 43.07772]}",147,2141,994
ONONDAGA,644627,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MARCOS DIEGO FLOWERS,MARCOS DIEGO FLOWERS,315-727-7852,4511,BUCKLEY RD,,,LIVERPOOL,NY,13088,"{'type': 'Point', 'coordinates': [-76.201825, 43.141404]}",638,2132,703
CAYUGA,645929,Nursery Stock Only,10 Acres or Less,,MILL POND NURSERY,DONALD R HASS JR,315-532-2665,13069,IRA STATION ROAD,,,MARTVILLE,NY,13111,"{'type': 'Point', 'coordinates': [-76.611978, 43.250694]}",646,618,64
TIOGA,492017,Nursery Stock Only,10 Acres or Less,,FROSTY MORNING TREE FRM,WESTON DALE N,607-589-4927,,COWELL ROAD,,,SPENCER,NY,14883,"{'type': 'Point', 'coordinates': [-76.484279, 42.244555000000005]}",914,630,51
SUFFOLK,643934,Nursery Stock Only,10 Acres or Less,,SUJECKI FARMS & NURSERIES,JONATHAN SUJECKI,631-793-8741,658,TWOMEY AVE,,,CALVERTON,NY,11933,"{'type': 'Point', 'coordinates': [-72.740716, 40.944077]}",1534,2179,1017
WYOMING,645958,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",JOHNSON FAMILY FARM STAND,HARRY & DIANE JOHNSON,,4134,SILVER SPRINGS ROAD,,,SILVER SPRINGS,NY,14550,"{'type': 'Point', 'coordinates': [-78.089092, 42.689158]}",407,2186,399
MONROE,645687,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",THE GARDEN FACTORY INC.,ROBERT L MARTELL,585-247-6236,2126,BUFFALO ROAD,,,ROCHESTER,NY,14624,"{'type': 'Point', 'coordinates': [-77.708132, 43.147915]}",1683,2093,549
WYOMING,645438,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",OUR FARM STAND,JANICE MASONIS,585-237-2676,6935,OATKA ROAD,,,PERRY,NY,14530,"{'type': 'Point', 'coordinates': [-78.024641, 42.720379]}",369,2186,394
NIAGARA,293755,Nursery Stock Only,11-100 Acres,,STEDMAN OLD FRM NUR INC,STEDMAN OLD FARM NURSERIES INC,716-778-8540,,SAMPSON FARM-LOCKPORT OLCOTT R,,,NEWFANE,NY,14108,"{'type': 'Point', 'coordinates': [-78.718267, 43.267993]}",936,2131,161
SARATOGA,645383,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ROCKIN HOPS LLC,ERIC LINENDOLL,518-899-4288,12,COTTONWOOD COURT,,,BALLSTON LAKE,NY,12019,"{'type': 'Point', 'coordinates': [-73.817164, 42.938812]}",1147,2141,1001
CAYUGA,643964,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SPRING BLOSSOM GREENHOUSE,DORROTHY HORNING,315-626-2487,10946,PEACHBLOW RD,,,CATO,NY,13033,"{'type': 'Point', 'coordinates': [-76.669804, 43.147208]}",352,618,83
CATTARAUGUS,42090,Nursery Stock Only,11-100 Acres,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,RT 219,SCHUMACHER NURSERY,,WEST VALLEY,NY,14171,"{'type': 'Point', 'coordinates': [-78.64129000000001, 42.420977]}",28,2034,371
HERKIMER,644010,Nursery Stock Only,10 Acres or Less,,TOP NOTCH GARDEN CENTER AT NEWPORT MARKETPLACE,MARK WAGNER,315-845-8822,7583,MAIN STREET,,,NEWPORT,NY,13416,"{'type': 'Point', 'coordinates': [-75.02001, 43.192284]}",1276,2088,674
ONEIDA,644108,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BYLERS GREENHOUSES,JOHN BYLER,,9311,OWENS ROAD,,,REMSEN,NY,13438,"{'type': 'Point', 'coordinates': [-75.202796, 43.311659]}",1364,625,986
GENESEE,187204,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HARRINGTONS,HARRINGTON AARON,585-343-0805,5282,CLINTON STREET ROAD,,,STAFFORD,NY,14143,"{'type': 'Point', 'coordinates': [-78.13231998999998, 43.00811998200004]}",489,2086,784
ALLEGANY,26193,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",J&E GREENHOUSE,TROYER JONATHAN ELLA,,6154,ROUTE 305,,,BLACK CREEK,NY,14714,"{'type': 'Point', 'coordinates': [-78.249671, 42.268582]}",1695,2031,451
RENSSELAER,644770,Nursery Stock Only,10 Acres or Less,,LAUGHING EARTH,ZACK AND ANN METZGER,518-821-8449,,RIVER ST,,,TROY,NY,12180,"{'type': 'Point', 'coordinates': [-73.637848, 42.736751]}",11,2138,130
LIVINGSTON,644906,Nursery Stock Only,10 Acres or Less,,DOUG FRANKE'S NURSERY INC,DOUGLAS FRANKE,,,WHITE BRIDGE RD,,,WEST SPARTA,NY,14437,"{'type': 'Point', 'coordinates': [-77.723485, 42.572866000000005]}",228,2091,739
WESTCHESTER,645919,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SHADES OF GREEN INC,KENNETH & MYRA MARSOCCI,914-320-5699,1451,STRAWBERRY ROAD,,,MOHEGAN LAKE,NY,10547,"{'type': 'Point', 'coordinates': [-73.846137, 41.328595]}",1326,2185,947
STEUBEN,462045,Nursery Stock Only,11-100 Acres,,MARCUS FARMS INC,MARCUS FARMS INC,607-295-7527,,ROUTE 36,,,ARKPORT,NY,14807,"{'type': 'Point', 'coordinates': [-77.708227, 42.418802]}",1754,2178,37
MADISON,644266,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DEVINE GARDENS LLC,JACOBS CHRISTINA,315-663-1675,4015,RYAN RD,,,MORRISVILLE,NY,13408,"{'type': 'Point', 'coordinates': [-75.746394, 42.916936]}",1270,2092,123
ULSTER,514946,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MIKES HOTHOUSE,COZZOLINO MIKE,845-255-6235,2036,ROUTE 44-55,,,MODENA,NY,12548,"{'type': 'Point', 'coordinates': [-74.11728501999994, 41.670345981000025]}",985,2182,414
STEUBEN,644524,Nursery Stock Only,101 Acres or More,,MARCUS FARMS INC,MARCUS FARM LLC,,9350,STATE ROUTE 36,,,ARKPORT,NY,14807,"{'type': 'Point', 'coordinates': [-77.715523, 42.455241]}",1754,2178,37
